index_field_selection_field,"Indexfeldauswahl"
indexFieldSelectionField,"IndexFeldauswahl"
indexFieldSelectionField_settings,"Einstellungen (Mehrfach-Indexfeldauswahlfeld)"
indexFieldSelectionFieldMulti,Mehrfach-Indexfeldauswahl
index_field_selection_combo,"Indexfeldcombo"
indexFieldSelectionCombo,"Indexfeldcombo"
indexFieldSelectionCombo_settings,"Einstellungen (Indexfeldcombo)"
specificPriceField,"Spezielles Preisfeld"
showAllFields,"Alle Felder anzeigen"
considerTenants, "Mandanten berücksichtigen"
online_shop_mainmenu,"Online Shop"
plugin_onlineshop_mainmenu,"Online Shop"
plugin_onlineshop_pricing_rules,"Preisregeln"
plugin_onlineshop_pricing_config_saved_successfully,"Preisregel erfolgreich gespeichert"
plugin_onlineshop_pricing_config_behavior,"Verhalten"
plugin_onlineshop_pricing_config_additiv,"Additiv"
plugin_onlineshop_pricing_config_stopExecute,"Letzte Regel"
plugin_onlineshop_pricing_config_add_rule,"Regel hinzufügen"
plugin_onlineshop_pricing_config_save_order,"Speichern"
plugin_onlineshop_pricing_config_enter_the_name_of_the_new_rule,"Geben Sie den Namen der neuen Preisregel ein"
plugin_onlineshop_pricing_config_condition_daterange,"Zeitspanne"
plugin_onlineshop_pricing_config_condition_daterange_from,"Von"
plugin_onlineshop_pricing_config_condition_daterange_until,"Bis"
plugin_onlineshop_pricing_config_condition_cart_amount,"Warenkorb Wert"
plugin_onlineshop_pricing_config_condition_catalog_product,"Artikel"
plugin_onlineshop_pricing_config_condition_products,"Artikel"
plugin_onlineshop_pricing_config_condition_catalog_category,"Kategorie"
plugin_onlineshop_pricing_config_condition_token,"Token"
plugin_onlineshop_pricing_config_condition_token_value,"Wert"
plugin_onlineshop_pricing_config_condition_sales,"Umsatz"
plugin_onlineshop_pricing_config_condition_sales_amount,"Betrag"
plugin_onlineshop_pricing_config_condition_sold, "Verkauft"
plugin_onlineshop_pricing_config_condition_sold_count, "Anzahl"
plugin_onlineshop_pricing_config_condition_sold_count_cart, "Mit Warenkorb"
plugin_onlineshop_pricing_config_condition_client-ip, "Client IP"
plugin_onlineshop_pricing_config_condition_client_ip, "IP"
plugin_onlineshop_pricing_config_condition_voucherToken, "Voucher Token"
plugin_onlineshop_pricing_config_action_gift,"Gratis Artikel"
plugin_onlineshop_pricing_config_action_gift_product,"Artikel"
plugin_onlineshop_pricing_config_action_cart_discount,"Warenkorb Nachlass"
plugin_onlineshop_pricing_config_action_cart_discount_percent,"Nachlass in %"
plugin_onlineshop_pricing_config_action_cart_discount_amount,"Absoluter Nachlass"
plugin_onlineshop_pricing_config_action_product_discount,"Artikel Nachlass"
plugin_onlineshop_pricing_config_action_product_discount_percent,"Nachlass in %"
plugin_onlineshop_pricing_config_action_product_discount_amount,"Absoluter Nachlass"
plugin_onlineshop_pricing_config_action_free_shipping,"Versandkostenfrei"
ecommerce, E-Commerce
preSelectMode,Vorauswahlmodus
remote_single,Einfachauswahl von Serverliste
remote_multi,Mehrfachauswahl von Serverliste
local_single,Einfachauswahl von vordefinierter Liste
local_multi,Mehrfachauswahl von vordefinierter Liste
indexFieldSelection,Indexfeldauswahl
indexFieldSelection_settings,Indexfeldauswahl Einstellungen
filtergroups,Filtergruppen
preSelect,Vorauswahl
predefined_pre_select_options,Vordefinierte Vorauswahlsliste
plugin_onlineshop_clear_config_cache,Cache für Konfiguration löschen
plugin_onlineshop_back-office_order,Back Office - Bestellungen
plugin_onlineshop_vouchertoolkit_tab,Voucher Details
